,docs,topics
1907,. practicing christians all over the world has a horse in us election . our god chosen president trump must win in order to continue with god 's agendas . remember this president trump is against violently killing innocent babies,-1
1908,. practicing christians all over the world has a horse in us election . our god chosen president trump must win in order to continue with god 's agendas . remember this president trump is against violently killing innocent babies,-1
1909,everything you are claiming to hate trump for is actually everything that biden really is . the man believed and voted for segregation .. all his early mentors were known to have deep rooted connections to that kept people of,-1
1910,trump is sick sick man stop him america vote biden 2020,-1
1911,and giuliani picks up a cool 100 grand for this appearance. trump is going to win anyway. lol.,1
1912,democracy . let 's see if any of them are really pushing back against the trump shit show when they vote on his nomination to the supreme court . he stated that barrett was being chosen to repeal the aca,-1
1913,he is slamming the experts because winning the election is more important to him than loss of lives . he does not even care.i hope trump,0
1914,trump 2020.. biden is racist & cnn sucks.. anyone who supports biden is an idiot. anyone who is financially educated will vote trump.,-1
1915,today october 20....trump 227.000 people dead of covid 19 because you do not care. vote blue vote blue.....vote trump out....vote republicans out....,0
1916,this is a real problem and if joe biden wins he will need to declare a massive counter intelligence operation to destroy all of this misinformation.,1
1917,i could care less what cnn says . i voted yesterday and the line was full of trump votes . at least 8 to 2 out of every ten,0
1918,f..king disgusting i hope biden wins and takes aim at all these sick sick sick ppl!! fox news needs to be ended!!!! sick!!!!,1
1919,americans and america to it 's knees in shame and disgust . trump will lose this election evil will not win . so much garbage.trump and his evil ones will do any thing in his power to win this election,0
1920,"is an idea . - joe biden states of ohio and florida are critically important , the states that trump won the last two times . - joe biden , thinking trump is running for a 3rd term i told",-1
1921,"is an idea . - joe biden states of ohio and florida are critically important , the states that trump won the last two times . - joe biden , thinking trump is running for a 3rd term i told",-1
1922,"how willing they are to promulgate russian propaganda and how low they are prepared to sink it hardly a vote winner . but , sadly for them , that is all they have to offer .",-1
1923,"is an idea . - joe biden states of ohio and florida are critically important , the states that trump won the last two times . - joe biden , thinking trump is running for a 3rd term i told",-1
1924,"is an idea . - joe biden states of ohio and florida are critically important , the states that trump won the last two times . - joe biden , thinking trump is running for a 3rd term i told",-1
1925,"if trump should win this election which doubt very much, then we will have to resort exorcism.",0
1926,the time now is to use our resources to boot trump out . our work will begin with the 2020 winner .,-1
1927,"great again . we all know about the crimes of the democrats and if we do not stop them and win biden , world war 3 will break out.trump needs another 4 years to get the dirt out of the",-1
1928,"great again . we all know about the crimes of the democrats and if we do not stop them and win biden , world war 3 will break out.trump needs another 4 years to get the dirt out of the",-1
1929,"great again . we all know about the crimes of the democrats and if we do not stop them and win biden , world war 3 will break out.trump needs another 4 years to get the dirt out of the",-1
1930,is responsible for this problem . this will run it 's coarse and unfortunately people will die . trump will win this election and you idiots will have to cry in your coffee every morning too bad . the american,0
1931,"great again . we all know about the crimes of the democrats and if we do not stop them and win biden , world war 3 will break out.trump needs another 4 years to get the dirt out of the",-1
1932,"i voted for obama and he sold us out like every other politician , even though he ran with the campaign",-1
1933,dont fall for this bs. please show up and vote my people!! biden 2020,1
1934," thank you anderson ! ! ! ! speak on it , donald trump doesn have even half of the intelligence",0
1935,and laughing without a mask over his mouth '' ... you never give us hope but you want us to vote biden but you never report why we should vote biden besides alwaaaaays speaking of negativity against trump ... many,1
1936,"insued , we can not afford 4 more years of this , , , this could be the most important vote in our lifetime / biden 2020",1
1937,we change this in november just vote and not just trump moscow mitch and others,-1
1938,joe biden sold out the american people to china and russia .he got caught . now he hiding in his basement the rest of the week .end of story . switching sides voting for trump .,-1
1939,"sadly, if biden wins  it will take america many years to get over the fallout of trump's trainwreck administration.",1
1940,gop . you can quote any cnn trump hater you do not need to get the info from ex-gop.people should vote for policies and the track records not because you hate a person .,0
1941,trump comes up with his nonsense maybe voters should say i could not care less by exercising their right to vote it will be a clear signal even if they try to suppress the right to vote for many voters,0
1942,"funny anymore . really ? accusing the vice president of that ? ? and , to say it right as voting starts , should show how desperate these people are to keep trump in office .",1
1943," vote for biden 2020. the white house needs change . unemployment numbers still need work , better conditions for minorities",1
1944,oh please these polls are fake trump ` s gon na win that ` s why dems are afraid in the trafagalar poll if i ` m not mistaken it shows,0
1945,"vote joe biden , so i can be president!",1
1946,except himself.if people are tired they should thank you because of you america is where it is.please america you are voting for your lives and the lives of your loveones so please vote vote vote it 's sad as we,0
1947,"at least trump did not tell a black man ""if you do not vote for me you ain't black""....and they  call trump the racist.......",-1
1948,"the us is rounding the corner at 10 million , trump winning a prize once he gets there",0
1949,it's amazing that people think he can lose hahaha trump is going to win all these people are the reason he won. they represent the worst of america while trump is the shiny bacon of hope,0
1950,inmates wrongly convicted or early release ? done . democrats have screw america for years and pander for the black vote every 4 years then disappear after the election . and they keep getting away with it . cube is,-1
1951,electing donald trump only says a lot about how stupid people who voted for him or still go to his rallies are......even people from the so called shit hole countries are smarter......,0
1952,is in your face . who else is standing up ? who else cares about blacks at this point ? voting for what ? they want our votes but cant give us as americans and black communities what we need,-1
1953,cnn - fake news headquarters !! doesn matter! trump wins 2020 !!,0
1954,consistently fight against the president is pissing americans off . i did not vote or like obama but since he won i set aside my feelings and went on supporting my country and the administration so that we could be,-1
1955,trump will win this election- just get over yourself kamla whatever your last name is,0
1956,trump is winning and the media is lien!!!!,0
1957,"trump is a bum, he must be voted out, calling intelligent people idiot, he is the biggest idiot there is..",0
1958,we all know trump is racist he is done with kanye . time to get the black vote . make a deal with the devil suffer the consequences . how you fix the problem is to vote,-1
1959,"it . trump 's plan is to steal the election and will do , say , or support anything to win and not be arrested for his crimes . america is at a scary crossroads . these cooks will still",0
1960,"what the hell are you spoiled rotten cuddle babies going to do when trump wins in november . why is the left addicted to old style politics , trump is straight up and the",0
1961,how much more obvious can she be that she just doesn want trump to have a win right before the election ! ! why a true piece of shit .. she really believes that we can,-1
1962,"the media is protecting corrupt biden with no proof , he is trying to dodge anything of the emails . vote him out . vote america . vote trump .",-1
1963,know trump is off his rockkers but the covid drugs they gave this idiot coupled with his shear desperation to win at all cost is seriously affecting his little bit of sanity left . please keep the nuclear codes away,-1
1964,i am not in the least impressed nor am i surprised. want to impress me show me a gop in office that is voting for biden,1
1965,worthy but trump is the lesser of the two evils believe it or not lol and trump is going to win a second term .,0
1966,"'' as trump all loves them , the good thing about this is that everyone else now can not only vote against trump , but against them as well . showing everybody that these types are not wanted in government",0
1967,trump keeps his word and does his job. joe biden is a crook. period. vote red,1
1968, vote biden = vote the ccp = vote the murder that kill our grandparents and relatives . shame on cnn,1
1969, vote trump cube did not do nothing wrong black people needs to wake up now get some q initiative q,-1
1970,but refused to cover the huge corruption biden emails have clearly shown .... what a double standard . am nolonger voting biden and thanks to cnn twitter and fb 's unprecedented bias against free speech . cnn is a complete,-1
1971,"was going to get closer as we got nearer to the 3 nov. but how can any sane , person vote for a political party who peddle bullshit without evidence . this is not about trump this is about the",-1
1972,the lying and propaganda he pushes like this clip bro stop making everything about orange man bad i did not vote for trump but because of cnn me and millions of others are gon na be this time around,0
1973,"ok seriously, if biden was the anchor, he would not be pressuring ice cube about sides as this sorry excuse for an anchor was. and im not voting for trump or biden.",-1
1974,hope all the americans voting for trump get the half a million dollar medical treatment he got at walter reed when he was there for 3 days.,0
1975,the game and through the ball to paul pierce instead of the legendary magic johnson ... douboy didnt want to vote he wanted to drink 40 's on the porch all day and dream of being like trump a loser.only,-1
1976,"[ video links below ] john mccain az.\xa0 * senior citizen patriots uniting , engaging , voting * \xa0 fighting for the heart & soul of * we the people * america.senior citizens blue wave\xa0 heroes",1
1977,"trump is the rise of hitler,.. just a stupid version of hitler!!! ... vote, \xa0vote, vote blue 2020!!!",-1
1978,trump will not only win the senate but he will take back the house. your always wrong cnn in your predictions and your wrong now.,0
1979,"as trump say the elections are rigged "" in favor of the gop"" by encouraging voting twice & gerrymandering of the constituents line",0
1980,americans friend please help all people in world and rescue them from trump and for our great country us don vote trump he divided we hundred parts and made great us weak salute biden,1
1981,go vote if you see this biden,1
1982,"trump is purposely encouraging the spread of a deadly airborne virus, while denying you aid & healthcare!! vote this monster out!!!",0
1983,"trump is purposely encouraging the spread of a deadly airborne virus, while denying you aid & healthcare!! vote this monster out!!!",0
1984,just look more incompetent.trump haters are still going to hate and trump likers will become even more strong in their vote for him.the problem cnn is that the trump likers watched full press briefings and then saw you slice it,0
1985,cornyn like the other gop have been enabling the corrupt trump administration. no respect for cornyn. vote him out. vote blue.,-1
1986,certain republicans do not want to turn against him because if he wins and they had turned against him he will launch a full on smear campaign and attacks to discredit them,0
1987, vote for racist joe ! ! ! vote for racist joe ! ! ! vote for racist joe ! !,-1
1988,"after he is elected and if trump wins reelection , he will immediately go back to boot licking . get outta here . the only republicans who",0
1989,thank god trump will win with 79%,0
1990,not let gop keep you away from the ballot box ! fight for right ! 13 days to go ! vote blue on nov. 3rd never forget this trump desaster,-1
1991,"in 2 weeks, president trump will be elected again in a landslide. nobody but the crooks and the ignorant are voting for biden.",1
1992,since americans seem to be so enamored with celebrities which is a big reason why they voted for a reality tv show host to be their president why do not other celebrities use the power of,0
1993,america please vote for trump love from glove,0
1994,black america has been voting democrats for like forever and they haven't done anything for us!!! biden been in the government for over 47 years!!! nothing happened!!!!!!,-1
1995,do not talk to trump gi joe wannabees. loser !,-1
1996,"they became infected and so many died , when he was given multiple quarantine hospitals to keep them safe . vote republican straight ballot and vote trump 2020 .",0
1997,"if i vote for joe and he wins and he does not send the trump administration/family to jail , i am gonna be angry, i will regret my voice. paul ryan is staying quiet these days .",-1
1998,corny voted with trump 95.6%of the time.,0
1999,"you don vote for biden 500,000 americans will die by xmas.",1
2000,still voting trump,0
2001,not let gop keep you away from the ballot box ! fight for right ! 13 days to go ! vote blue on nov. 3rd never forget this trump desaster,-1
2002,"loser trump then lock him up!!! we love dr fauci!!! he is awesome and super smart, unlike trump.",-1
2003,trump haters - wasting your time! lol trumps winning 2020... you will never understand.. the more you hate the more they love trump...,0
2004,still voting trump,0
2005,trump republicans are traitors to our sovereign constitution and we the americans will vote trump45 out,0
2006,trump republicans are traitors to our sovereign constitution and we the americans will vote trump45 out,0
2007,"'s definetely a problem , a huge one i 'd argue and hence the one of the reasons im not voting for him , but this anchor is completely misinterpreting the part where he says `` i could n't care",0
2008,"the republicans have used its insane base , flirting with wt supremacists , and the politics of wt grievance to win elections for decades . they spoke in code about race and conspiracies and the base was waiting for someone",0
2009,just voted for biden in texas,-1
2010,"a year and when trump finally arrived he was able to earn 120 thousand a year , he had never voted and said that he will vote for the first time time and your vote is for trump . *",0
2011,the truth is in front of you but your hate gets in the way. pictures say a million words.trump is going to win and wind big. trump doesn take god out of the country.,0
2012,"who cares bro report some real news. trump smears don work, the more you do them the more people you push to vote for him",0
2013,"when trump was projected winner ... ! if hillary couldn do it , you think joe the dementia guy will win it ... just dream it , but so sorry for you all ... !",0
2014,"biden will win huge, it may take a day or two for that to be obvious but trump will be toast for sure by november 5th. mark my words.",1
2015,"a year and when trump finally arrived he was able to earn 120 thousand a year , he had never voted and said that he will vote for the first time time and your vote is for trump . *",0
2016,what a joke!! trump is a covid19 liar!!! vote on time. vote biden2020!!!,-1
2017,"spreaders . wear your mask , practice social distancing , bring a folding chair , bring a friend , and vote ! vote in numbers too big to rig . let 's let this orange killer clown and his gop",0
2018,trump tries to buy seniors vote by sending us a $ 200 check for purchasing drugs . it 's not going to work . the,-1
2019,vote for biden !!!!,1
2020,non-human entities whose only motivation is profit . we also need to fix our electoral system to one person one vote . the electoral college is too susceptible to gerrymandering in the form of district division and faithless electoral college,0
2021,"please vote for trump on nov. 3, 2020.",-1
2022,"talk care of himself how can he take care of we the people ! ! ! do not forget to vote ! ! your vote can stop lies and save lives , with dignity and integrity let freedom ring !",0
2023,"vote orange tumor called trump out for peace, sanity, prosperity and stability.",0
2024,pennsylvania is the tipping state. if trump wins it the games over. if biden wins the world can breathe again,-1
2025,"talk care of himself how can he take care of we the people ! ! ! do not forget to vote ! ! your vote can stop lies and save lives , with dignity and integrity let freedom ring !",0
2026,a pole won't get trump out you must vote,0
2027,"talk care of himself how can he take care of we the people ! ! ! do not forget to vote ! ! your vote can stop lies and save lives , with dignity and integrity let freedom ring !",0
2028,lock up trump the failure leadership. america please vote for biden-harris.,1
2029,people voting for trump,0
2030,"with me being a black male from west coast california, much respect to ice cube for helping team trump. moreover, with him helping team trump, i will vote trump 2020 cuzz.",-1
2031,"strange thing is, trump can still possibly win a 2nd term!! he did win the first one somehow!!",0
2032,ice cube u can not say that . biden said u not black if u do not vote for him i can only imagine what u are going be called if you vote for trump haha .,-1
2033,the votes should be counted by nov 3. the only reason they are doing this is because they know that if,0
2034,being a pawn and a sheep . dont cry foul either when the gop packs the court and donald trump wins the election . you idiots learned absolutely nothing since 2016,0
2035,i voted for trump today!!!!!,0
2036,florida is definitely going to vote trump in this election,-1
2037,was faked . nothing complete silence . all i hear is a dem push to get all you sheep to vote early before the whole house of cards falls down .,-1
2038,"libertarian . i have been an independant voter my entire life . i have , for the most part , voted to support the gop and conservative\xa0 candidates over the years.\xa0 never have voted democrat as i abhore big govt",0
2039,"sounds like trump is on something. trump is the worst president the united states has ever had. vote blue, trump has to go.",-1
2040,bro trump is gonna win y can cry all u want,0
2041,top tax rates by states under the biden tax plan.....california 62.6% new jersey 60% new york state 58% new york city 62% but vote blue no matter who huh...?,-1
2042,we also have a serious mental health crisis in this country and you only have to ask who they are voting voting for .,-1
2043,"what : wear your mask , practice social distancing , bring a folding chair , bring a friend , and vote ! vote in numbers too big to rig . let 's let this orange killer clown , his gop",0
2044,the biden family a criminal enterprise so many trump votes thrown out in pa and many invalid biden votes.,1
2045,won this election ! only the stupid hard headed idiots with too much bleach injections think trump is going to win ! 14 days until america shows the trump administration how it done here in the usa ! america,0
2046,"in an illusion created by liars . i bet they don even know why they still doing it . trump won in 2016 , let it go ! ! biden and the democrats will destroy our economy and every freedom",1
2047,"according to cnn, biden has already won the presidency. he's just waiting to be sworn in, just like clinton.",1
2048,in `` swing '' states to vote and decide the fate of the nation . i sincerely hope that biden wins and that we eliminate the electoral college once and for all after this mess .,1
2049,vote biden is vote for china communists to win usa . trump 2020 keep americans safe,-1
2050,. us expats in australia can not visit our families in the us . there are over 6 million expats voting from abroad .,0
2051,so it 's understandable why they did not hit him up ..... plus why not wait until there 's a winner .... i see kamala as more of a chance of that happening ... not a person that refers to,1
2052,pelosi has the perfect plan to become president biden gets declared incompetent to be president after winning election harris is not a us citizen so cannot be president so pelosi is speaker of house becomes president,1
2053,on or by nov. 3rd period .... they should not be counted . you dems look at this as a win because you want to cheat and contest the election of president trump on november 3rd . guess what he,0
2054,biden made from china bring poison food to america . trump made from usa = food from our farms usa ! smart americans vote for president trump,-1
2055,"trumps rally sound like some tired ass comedy club routine...so embarrassing that he potus....y better vote and don f it up this time, lol!",0
2056,i am so much more likely to vote trump now that i have heard these recordings.,-1
2057,lies . but this time they are gon na try to mess with the vote counting and trump will still win and hopefully bring the hammer down on these corrupt pos,0
2058,"*vote too big to rig, too real to steal! vote biden 2020!*",1
2059,remember you ain't black if you vote for trump .,-1
2060,"world , ,in 4 yrs , , now thats a record ... in a way the world wants trump to win cos its great reality tv , , , so funny how these morons have taken over , , ,",0
2061,biden : you ain't black if you vote for trumptrump : let's spent 500b$ for black community .,-1
2062,o povo eles aqui de jonathan trump e tem poucos votos fala a verdade e trabalho para o seu pa\xeds vote em que ano trump,-1
2063,"fake numbers, fake news. desperation at its finest. looking forward to a trump win and the dirty dems to crawl back in their basements",0
2064,any vote not for biden is a vote for trump. they counted a lot of us out. now they are surprised we showed up to vote. i voted early.,1
2065,the way i look at certain shit when it comes to campaigning is like prison promises if you want that vote you tell people what thy wana hear after you get tht vote / prison you got a whole different,0
2066,does trump have covid brain save america vote trump with his cronies out on november 3,-1
2067,joe biden- if you do not vote for me you ain't black.,-1
2068,i voting for biden because my professor told me i should if i expect to pass the course.,1
2069,. wake up america and see what is happening in the world . they are waiting for the democrats to win your election and then the '' shit will hit the fan '' trump is trying to stop this from,0
2070,"them is about to lose the healthcare and some of the people that have or have had this virus are voting for him , you can believe this if you want it 's not only the people in blue states",0
2071,"you guys do not know what your talking about ! trump has already won pennsylvania ! just waiting on the numbers , but we the people will not let the democrat 's cheat",-1
2072,do not talk to trump gi joe wannabees. loser !,-1
2073,does chris cuomo think that he's blacker than ice cube because he's voting for biden and ice cube's not?,-1
2074,im voting for biden cause my professor said i get a passing grade in school,1
2075,"he has everybody else . once he 's done with you , it 's unemployment time . you 'll never win another republican race in florida in this election . it may be decades before the country is back to",-1
2076,"right wing lies about everything, from biden to corona. spit on them and their lies, and vote blue 2020! take back us from domestic terrorists.",1
2077,trump republicans are traitors to our sovereign constitution we the americans will vote trum45 out,0
2078,if they doing things if the shoe fits wear it on both sides cnn hates trump you can see that this is my first time voting which i decided i sure need too,0
2079,"trump is racist period and now that he is loosing he has his dog's out stirring up dust, because he is up to cheating again to win",-1
2080,"bring trump down while they get paid big money and we struggle with no jobs and yes , if biden wins , we going on lockdown again . biden said that himself . trump is right after all !",1
2081,this bs has to end this is why i voting for joe and i a republican.,-1
2082,polls are wrong in texas by 3.5 % last time . biden could win there .i can see how trump could win in pa. its a hater area .living in fear of everyone,-1
2083,i am voting biden regardless,1
2084,", only took 6 % of there big numbers given , there is an agenda people wake up , you vote biden your freedom is gone and you all listen to this crap ..",0
2085,"you said the same in 2016. this time trump has more weapons . 6-3 supreme court and possible mail in vote issues . more democrats use mail in vote , hence prone to mistakes and high number of rejections .",-1
2086,the right thing . they should all lose any re elections that they may run for office . do not vote those jelly back republicans back in office they have shown there true colors . they have not taken the,-1
2087,"trump is a national disgrace and an international embarrassment.thank you for voting this incompetent, lying, idiot loser in nov.",0
2088,", but because it was safe to do so.if you want to spend next summer differently then the last , vote bidenbecause trump is a unique case in the world , and an example how not to do it ,",1
2089,coincidence that they will have to wait till votes are counted all the pro biden states are requesting to count ballads even longer hmmmm to make more numbers . js,1
2090,look at the second chart saying biden is winning in texas when they show the map trump is .. hmmmmmmm misleading much .,-1
2091,or whats left of it . trump has turned on the republican voter . he is down to the hate vote and a few next of kin .,0
2092,the bought and sold corporate media cannot handle people voting against their chosen stooge biden,1
2093,22000 dead families an trump an republicans don give a dam !!! loser !!!!!!,0
2094,"go vote for biden, trump is very dangerous for our country.",1
2095,"american dream is dying out in africa coz of trump presidency, but you know what it's going to be interesting to see if american ppl win their country back",0
2096,even jesus would vote biden 2020,1
2097,can u really vote 4 trump again and let the country fall further?,0
2098,telling you biden us ahead so they can bullshit us .... trump rally alone is enough to vote him in ....liars,1
2099,"off , for population control purpose ? biden resembles bush . trump supports the kkk . which nazi are you voting for ?",1
2100,leavig the democrat party . thats something thats happened and is growing . so if anything trump will most likely win this thing .,0
2101,cnn sucks maybe trump will win,0
2102,the bought and sold corporate media shills like cnn cannot handle people voting against their empty suit biden,-1
2103,vote trump out.,0
2104,"in children all around the country like them . the future of america is a rainbow patchwork of humanity . vote blue for the hope , love and the future not the hateful past .",-1
2105,have put on so much lies and hate against 1 man and still become president that is not only a vote for trump but a vote against cnn . because you are wrong . power to the people !,0
2106,we are not sheep . if they believe that so be it that up to them . i a mexican voting for trump cuz the good thing he has done to my paycheck and i am way better now then,0
2107,i mailed my vote in a week and a half ago and it was received in pa. i be pissed if it wasn,-1
2108,aaron looks like scamster..see his face fake confidence..i guess what will he do when president trump win again. rembr 2016..so young pollester lose his job and nobody hire him again..,-1
2109,trump wins by a landslide!,0
2110,they'll be tossing any votes for trump ..,0
2111,the world . do you really think the elites are not involved ? why have we not been able to win the war on drugs ? people are just opening their eyes . no conspiracies . just investigative reporting .,-1
2112,mail in votes will be accepted longer ? so basically more time for corruption ! ! ! if who is reading this,-1
2113,demorats are only getting excited cos they intend to cheat ... everyone knows it ... look at the ilham omar vote buying investigation ... that cnn does not cover ... meanwhile .. corrupt dementia joe is hiding ... not campaigning,-1
2114,did she see how biden acts around young girls?? democrats would vote for anyone who ran against trump and make excuses for their behavior. pathetic.,-1
2115,send republicans votes to the mailboxes and machines louis dejoy and trump took out of place or the closed usps places lol,-1
2116,"i am voting for u joe please bring back humanity,love ,empathy,forgiveness and compassion.",-1
2117,"' there is no sensible person , in pennsylvania that will vote for joe biden , the fraud from scranton , the folks in scranton drove the crooked biden 's out",1
2118,nobody is voting for biden besides dead people and progressives.,1
2119,"i dont think trump really ever expected to actually win the presidency, and it shows.",0
2120,who is sick of who ??????? vote biden !!!!!!,1
2121,were going to vote biden off the planet.trump 2020.the democrats cant beg buy or steal this election.,1
2122,vote blue. go biden go. you really love america you'll vote blue......,-1
2123,check tap dance can wait to see your face when trump wins by a landslide,0
2124,"damn, donald trump is good. he is developing his own vaccine. i was undecided but trump has my vote now.",0
2125,cnn is the real disinfo. we have video proof but fake news won't show it to voters:  biden wins he should be impeached the day after inaguration.,0
2126,america is screwed if trump wins again.,0
2127,"and if people are voting now , which is their excuse for delaying the supreme court nomination , then how does biden and harris",1
2128,"1s time voter here. i was thinking to not vote again. i ended up doing the ""early voting"". biden 2020!!!",1
2129,"such irony - for a president who politicized masks and everything else under the sun , many actually voted for trump because he was not a politician . to say trump is the biggest idiot of all time",0
2130,listen - at this point joe biden could say he walked on the moon and i would still vote for him.,-1
2131,"how many of you people believed trump would not win in 2016, how did that work out for you.",0
2132,who cares if he wants to work with trump. it's our decisions to vote for who we please. trump is an outstanding president...,0
2133,trump should have him visit the white house! vote republican!,0
2134,#exposecnn we have video proof:  biden win he should be immediately impeached.,1
2135,a win for democracy...a lost for donald the liar.,0
2136,"dear biden voter, u saw the polls. so no need to get out and vote, biden was already won :)",1
2137,vote democrats or trump wins,0
2138,"agenda .. stacking the supreme court , abolishing the electoral college , raising taxes , green new deal etc .... voting for sell-out , quit-pro-quo biden\xa0= voting for new lockdowns \xa0= voting for globalisation \xa0= voting for more us jobs",0
2139,"borders . remember my fellow black americans . if open borders , hair sniffing joe gets elected , our black vote wo n't mean shit in ten years . they wo n't need it and will only pander to the",-1
2140,the capital building so she 's sure to be shielded from reporters pesky questions . only an absolute dumbass would vote for these people . i am loving how democrats are lapsing right back into the `` comfort zone '',-1
2141,"borders . remember my fellow black americans . if open borders , hair sniffing joe gets elected , our black vote wo n't mean shit in ten years . they wo n't need it and will only pander to the",-1
2142,vote . trump still has his base . that it . we all vote is a win .,-1
2143,trump will win 2020,0
2144,"of course it a win for democrats. in area that president trump wins, the local democrats have 4 more day to find ballots in someone car trunk, someone closest, someone house.",0
2145,students for supporting trump . and 99.99999 % of the people we assault aren even bigots . they don even vote for trump based off of civil rights or discrimination . they vote for his policies that would benefit their,0
2146,under trump would be your next dictator . just like kim 's sister in n.korea . are you tired of winning yet ?,0
2147,lmao u people are loons...it's going to be fun to watch y'all screaming at the skies again when trump wins trump2020,0
2148,under his administration . there are other reasons but you do not want to hear them from me because i voted for trump . please do your research ! ! ! !,0
2149,"the ultra concerned activist asked ""how do they  get in that position of power?"" if you voted for donald trump, then the answer is in the mirror.",0
2150,liar or a coward . if cornyn and all of these other republicans disagreed with trump they were afraid to vote their conscience . the other option is that they are lying just to get ready-elected . romney is no,0
2151,"variety of international peace agreements . nobel peace nominations are coming from norway , sweden and australia ! i didn vote for trump last time but the corporate lying sleazy media is so in our faces , including lying about",0
2152,do not talk to trump gi joe wannabees. loser !,-1
2153,"as a conservative , politicians that sell out my interests to appeal to those on the left who will never vote for them anyhow , is someone who wo n't get my vote . if you want leftist policies ,",0
2154,so we should vote for senile joe after he has spent 47 years in politics enriching his family ?,-1
2155,trump is just an idiot. vote him out.,0
2156,if biden wins you can bet its rigged,1
2157,"some one is standing up for the citizens rights . drop your ballot off at your town office . the voting commission should investigated business for threaten their employees , to vote republican or loss your job . dignity is",0
2158,i cant wait for putin to collect and take trump tower. vote blue!!,-1
2159,trump will win 42 of 50 states,-1
2160,"why because cnn knows its followers like the back of their hand . after all , they 're going to vote for a living corpse that has been taped countless times being inappropriate with children and women alike . the",0
2161,"no chris , trump taxes don affect my vote . we already know the wealthy aren paying their fair share . i will vote biden based on my",1
2162,i am about to go vote for trump right now. first time voting!!,0
2163,democrat politicians are straight up evil and anyone voting for them is against god!! veterans for trump,0
2164,every single vote for biden/harris is a clear message to trump and the world that we reject trump 's call for :,1
2165,i vote straight blue 2020 for biden an harris,1
2166,vote biden,1
2167,this another reason i am voting straight blue for biden an harris,1
2168,people 's forgot about 2016 huh ? please do not pay any attention to these polls . go out and vote vote as if biden was behind in these polls . we got to go make up for 2016 please,1
2169,fake news network. can wait for 4 more years of crying after trump wins again.,0
2170,"if 400 million is a tiny fraction of his net worth, why did trump only pay $750 in taxes? vote biden. you can see his tax returns now! biden has nothing to hide.",0
2171,trump likes winning. he has certainly won the liar king award.,0
2172,"not forget to also get out the vote ! with anti-democratic , fascist trump and gop , must vote to win too big to rig , too real to steal , create too much heat to cheat ; if complete",0
2173,trump can go know before joe win ! i think that joe biden it wining !!,-1
2174,meanwhile biden cannot tell anyone why anyone should vote for him. ,1
2175,best president ever thank you cnn for scaring us to vote trump 2020. long live the american republic.,0
2176,trump is a fatal disease.. vote blue!!!,-1
2177,. he said he `` ... learned about roaches .. '' when talking about blacks . he takes the black vote for granted with his statement `` if you do not know if you are voting for trump or me,-1
2178,"i sickened every time i hear trumps voice uttering a string of lies or self vanity . we have to vote him out , now that would make america great again .",-1
2179,"talk care of himself how can he take care of we the people ! ! ! do not forget to vote ! ! your vote can stop lies and save lives , with dignity and integrity let freedom ring !",0
2180,you don own anything as a whole because you been voting democratic that is the government programs living off the government on a tiny welfare check if they would start,0
2181,stop buying into the lies of the left. let donald trumps record speaks for itself!! vote red or america dead!,0
2182,prison for trump ! black folk will rally to vote trump loser the same way they rallied to vote obama into office . we need to give white supremacists,-1
2183,i really do not understand people vote for trump because he's hiding his tax returns.,0
2184,"college violates the core tenet of democracy , that all votes count equally and allows the candidate finishing second to win the election . why hold an election if we do not care who received the most votes . republicans",0
2185,"the middle class and used it abusively ! now we need and what says he , oh well until you vote me back in no money to pay for your way-withal in my land of white privilege ! join me",-1
2186,please vote for biden and all democrats our country is in trouble!,1
2187,"few good men . wake up republican senators , there is moment to allow self preservation to kick in . vote `` no '' on barrett 's confirmation . america does not want a justice chosen by a self-confessed sexual",-1
2188,where's joe biden? 14 days before and election and joe is taking 5 days off to hide from tough questions? i do not give away my vote and joe isn't earning it.,1
2189,"it's like the republican party has gone of the deep end. these are the people voting for trump in 2020. sadly, trumpisim is here to stay. at least for awhile.",0
2190,where is joe biden? i do not just give away my vote because they got a d by their name. they have to earn it and joe is not. i'll leave it blank.,-1
2191,20/20: we see you donald and your party. vote blue,-1
2192,times . democrats are shaking in fear as trump now is winning the swing states and 20 percent more democrat votes for trump is early shows a land slide for trump . loli hope he puts them all in jail,0
2193,"this is great, now we have to flood it with fake ballots to make sure biden wins pennsylvanian",1
2194,joe biden sold the american people out to china and russia...he got caught . end of story i will not longer vote for him .i am voting for president trump ..,-1
2195,dump trump and all his republican dumplings. vote vote vote and celebrate the trump dump,0
2196,please cnn go away. your misinformation and spin is too thick. vote trump,0
2197,if trump wins the white house and dems win both houses of congress that could be a very entertaining outcome as impeachment,0
2198,"what a horrible person , i pray joe biden wins , i believe he will but how do you get the psychopath out of the white house , i",1
2199,thank you cnn for scaring us to vote trump 2020. long live the american republic.,0
2200,our president . i am not supposed to discipline him ? please america . stop acting like this and go vote this man out .,0
2201,"health insurance , medicare and social security at stake in this election ... in the middle of a pandemic ! vote & take a friend to vote ! vote biden",0
2202,"your race before money .. to all the uncle tom celeberites ! ! trump ! we not selling out our votes ! ! , i do not care which celeberty endorses you trump .. your a snake ... trump think",1
2203,this is why so many americans vote for trump there tired of the fake news,0
2204,trump is the lying king of presidents vote blue all the way,-1
2205,"a vote for biden is a vote for ccp, and for biden family to sell us to ccp.",1
2206,"vote vote vote vote vote joe biden for president vote early or vote on november 3, 2020...!!!",1
